cas_number,agent,iarc_group,year
128-37-0,Butylated hydroxytoluene (BHT),3,1987
128-66-5,Vat Yellow 4,3,1990
129-00-0,Pyrene,3,2010
129-15-7,2-Methyl-1-nitroanthraquinone (uncertain purity),2B,1987
129-17-9,Blue VRS,3,1987
129-20-4,Oxyphenbutazone,3,1987
129-43-1,1-Hydroxyanthraquinone,2B,2002
131-79-3,Yellow OB,3,1987
132-27-4,Sodium ortho-phenylphenate,2B,1999
132-65-0,Dibenzothiophene,3,2013
133-06-2,Captan,3,1987
134-32-7,1-Naphthylamine,3,1987
135-88-6,N-Phenyl-2-naphthylamine,3,1987
136-40-3,Phenazopyridine hydrochloride,2B,1987
137-17-7,"2,4,5-Trimethylaniline",3,1987
137-26-8,Thiram,3,1991
137-30-4,Ziram,3,1991
138-59-0,Shikimic acid,3,1987
139-05-9,Cyclamates (sodium cyclamate),3,1999
139-13-9,Nitrilotriacetic acid and its salts,2B,1999
139-65-1,"4,4'-Thiodianiline",2B,1987
139-94-6,Nithiazide,3,1987
140-11-4,Benzyl acetate,3,1999
140-56-7,para-Dimethylaminoazobenzenediazo sodium sulfonate,3,1987
140-57-8,Aramite®,2B,1987
140-88-5,Ethyl acrylate,2B,
141-32-2,n-Butyl acrylate,3,1999
141-37-7,"3,4-Epoxy-6-methylcyclohexylmethyl-3,4-epoxy-6-methylcyclo-hexanecarboxylate",3,1999
141-90-2,Thiouracil,2B,2001
142-83-6,"2,4-Hexadienal",2B,2013
143-50-0,Chlordecone (Kepone),2B,1987
143-67-9,Vinblastine sulfate,3,1987
144-34-3,Methyl selenac,3,1987
148-18-5,Sodium diethyldithiocarbamate,3,1987
148-24-3,8-Hydroxyquinoline,3,1987
148-82-3,Melphalan,1,2012
149-29-1,Patulin,3,1987
149-30-4,2-Mercaptobenzothiazole,2A,2018
150-13-0,para-Aminobenzoic acid,3,1987
150-68-5,Monuron,3,1991
150-69-6,Dulcin,3,1987
151-56-4,Aziridine,2B,1999
154-93-8,Bischloroethyl nitrosourea (BCNU),2A,1987
156-10-5,para-Nitrosodiphenylamine,3,1987
156-51-4,Phenelzine sulfate,3,1987
189-55-9,"Dibenzo[a,i]pyrene",2B,2010
189-64-0,"Dibenzo[a,h]pyrene",2B,2010
191-07-1,Coronene,3,1987
191-24-2,Benzo[ghi]perylene,3,2010
191-26-4,Anthanthrene,3,2010
191-30-0,"Dibenzo[a,l]pyrene",2A,2010
192-47-2,"Dibenzo[h,rst]pentaphene",3,2010
192-51-8,"Dibenzo[e,l]pyrene",3,2010
192-65-4,"Dibenzo[a,e]pyrene",3,2010
192-97-2,Benzo[e]pyrene,3,2010
193-09-9,"Naphtho[2,3-e]pyrene",3,2010
193-39-5,"Indeno[1,2,3-cd]pyrene",2B,2010
194-59-2,"7H-Dibenzo[c,g]carbazole",2B,2013
195-19-7,Benzo[c]phenanthrene,2B,2010
196-78-1,Benzo[g]chrysene,3,2010
198-55-0,Perylene,3,2010
202-33-5,Benz[j]aceanthrylene,2B,2010
202-94-8,11H-Benz[bc]aceanthrylene,3,2010
202-98-2,4H-Cyclopenta[def]chrysene,3,2010
203-12-3,Benzo[ghi]fluoranthene,3,2010
203-20-3,"Naphtho[2,1-a]fluoranthene",3,2010
203-33-8,Benzo[a]fluoranthene,3,2010
205-12-9,Benzo[c]fluorene,3,2010
205-82-3,Benzo[j]fluoranthene,2B,2010
205-99-2,Benzo[b]fluoranthene,2B,2010
206-44-0,Fluoranthene,3,2010
207-08-9,Benzo[k]fluoranthene,2B,2010
207-83-0,"13H-Dibenzo[a,g]fluorene",3,2010
211-91-6,Benz[l]aceanthrylene,3,2010
213-46-7,Picene,3,2010
214-17-5,Benzo[b]chrysene,3,2010
215-58-7,"Dibenz[a,c]anthracene",3,2010
217-59-4,Triphenylene,3,2010
218-01-9,Chrysene,2B,2010
